	Id	Company	Country	Work Expirience	Job Years	Professional Training	Position	Salary
0	1000	Netflix	USA	7	3.0		Teamlead	11424.4
1	1001	Amazon	Australia	3	3.0		Junior	5174.400000000001
2	1002	Netflix	Germany	7	3.0	True	Senior	9328.8
3	1003	Netflix	Germany	7	3.0		Teamlead	10545.6
4	1004	Amazon	Germany	8	5.0	True	Teamlead	13060.319999999998
5	1005	Amazon	USA	3	3.0		Middle	7854.000000000001
6	1006	Netflix	Australia	8	5.0		Teamlead	10483.199999999999
7	1007	Amazon	Germany	7	2.0	True	Senior	8551.400000000001
8	1008	Google Inc	Australia	8	4.0		Teamlead	11356.8
9	1009	Netflix	Germany	5	1.0		Junior	5241.599999999999
10	1010	Amazon	Australia	6	3.0	True	Middle	9251.06
11	1011	Amazon	Germany	4	1.0		Middle	6283.2
12	1012	Amazon	USA	4			Junior	6048.0
13	1013	Google Inc	USA	8	3.0		Teamlead	13249.599999999999
14	1014	Netflix	Germany	3		True	Junior	5525.5199999999995
15	1015	Amazon	Germany	3	2.0		Junior	4065.600000000001
16	1016	Netflix	USA	4	2.0		Middle	6364.8
17	1017	Google Inc	Australia	8	4.0	True	Teamlead	15237.039999999997
18	1018	Amazon	Australia	7	4.0		Middle	6895.2
19	1019	Amazon	Germany	4	1.0	True	Middle	7225.679999999999
20	1020	Netflix	Australia	8	3.0		Teamlead	10483.199999999999
21	1021	Google Inc	Germany	8	4.0		Teamlead	12230.399999999996
22	1022	Google Inc	Germany	5	1.0		Middle	6364.8
23	1023	Amazon	Germany	7	2.0		Senior	6864.0
24	1024	Netflix	USA	7	2.0		Senior	7436.0
25	1025	Amazon	Australia	4	1.0		Middle	7425.599999999999
26	1026	Google Inc	Germany	7	1.0		Middle	6895.2
27	1027	Google Inc	Australia	6	2.0		Teamlead	11356.800000000001
28	1028	Amazon	Germany	3		True	Junior	4675.4400000000005
29	1029	Amazon	Germany	5	1.0		Junior	4435.200000000001
30	1030	Google Inc	USA	4	1.0	True	Middle	9149.4
31	1031	Google Inc	Germany	7	4.0	True	Middle	8539.44
32	1032	Netflix	USA	7	4.0	True	Teamlead	14148.68
33	1033	Amazon	Germany	4	2.0	True	Middle	7882.559999999999
34	1034	Google Inc	Germany	3	1.0	True	Junior	5454.68
35	1035	Google Inc	USA	8	3.0		Teamlead	13104.0
36	1036	Amazon	Australia	6	3.0	True	Teamlead	12127.439999999999
37	1037	Amazon	Australia	7	1.0	True	Middle	7929.48
38	1038	Netflix	Australia	3		True	Middle	7827.82
39	1039	Netflix	Australia	6	3.0		Senior	8736.0
40	1040	Amazon	Australia	8	3.0	True	Teamlead	16409.119999999995
41	1041	Netflix	Germany	6		True	Middle	6150.430000000001
42	1042	Amazon	Australia	5	1.0	True	Middle	7882.559999999999
43	1043	Amazon	Australia	3	2.0		Middle	5834.400000000001
44	1044	Netflix	Australia	7	2.0		Middle	8044.400000000001
45	1045	Netflix	Australia	7	4.0	True	Senior	9328.8
46	1046	Netflix	Germany	6		True	Senior	7235.799999999999
47	1047	Amazon	Germany	6	1.0		Senior	7488.0
48	1048	Google Inc	Germany	3	1.0	True	Junior	5950.5599999999995
49	1049	Amazon	Germany	8	2.0	True	Teamlead	11051.039999999999
50	1050	Amazon	USA	8	2.0	True	Teamlead	17581.199999999993
51	1051	Netflix	Australia	5	1.0		Junior	5678.4
52	1052	Google Inc	USA	3	1.0	True	Middle	8429.96
53	1053	Google Inc	Australia	6	1.0	True	Middle	8590.27
54	1054	Netflix	Australia	6	1.0		Senior	7488.0
55	1055	Google Inc	Germany	6	2.0		Teamlead	8923.2
56	1056	Google Inc	Australia	6	1.0	True	Senior	11720.8
57	1057	Amazon	Germany	4	2.0		Junior	4838.4
58	1058	Amazon	Australia	5			Junior	6585.5999999999985
59	1059	Google Inc	Australia	5		True	Middle	7882.559999999999
60	1060	Netflix	Australia	7	2.0	True	Middle	8590.27
61	1061	Netflix	USA	7	4.0		Teamlead	12303.2
62	1062	Netflix	Germany	7	2.0	True	Teamlead	10261.68
63	1063	Netflix	USA	6	1.0		Senior	7436.0
64	1064	Amazon	Australia	5			Middle	5875.2
65	1065	Netflix	Australia	7	1.0	True	Middle	8590.27
66	1066	Amazon	Germany	5	2.0	True	Junior	6027.839999999999
67	1067	Amazon	Germany	7	4.0	True	Senior	8611.199999999999
68	1068	Netflix	Australia	5	1.0	True	Junior	7032.48
69	1069	Google Inc	USA	3	2.0		Middle	6806.8
70	1070	Netflix	Australia	8	5.0		Teamlead	9609.6
71	1071	Amazon	Germany	7	2.0		Middle	5834.400000000001
72	1072	Google Inc	Germany	5	1.0		Junior	4838.4
73	1073	Google Inc	Australia	5	1.0		Junior	5644.8
74	1074	Google Inc	Germany	3	2.0	True	Middle	5677.32
75	1075	Google Inc	USA	8	4.0	True	Teamlead	16325.4
76	1076	Google Inc	Australia	7	2.0		Teamlead	12303.2
77	1077	Netflix	USA	5			Junior	5678.4
78	1078	Amazon	Australia	6		True	Senior	10106.199999999999
79	1079	Netflix	USA	4	1.0	True	Junior	6375.6
80	1080	Amazon	USA	4	1.0		Junior	6115.2
81	1081	Amazon	USA	3		True	Middle	7225.68
82	1082	Netflix	Australia	6		True	Senior	9328.8
83	1083	Amazon	Australia	6	3.0	True	Teamlead	11194.56
84	1084	Netflix	Germany	6			Senior	6864.0
85	1085	Netflix	Germany	4	1.0	True	Junior	4675.4400000000005
86	1086	Google Inc	USA	7	1.0		Middle	8044.400000000001
87	1087	Netflix	Australia	5		True	Junior	6530.159999999999
88	1088	Amazon	Germany	5	1.0	True	Middle	7225.679999999999
89	1089	Amazon	Germany	6	1.0		Middle	6895.2
90	1090	Amazon	Germany	6	2.0		Middle	6364.8
91	1091	Amazon	USA	3		True	Middle	7827.82
92	1092	Netflix	USA	3	3.0		Middle	6171.000000000002
93	1093	Netflix	Australia	3	2.0	True	Middle	6193.44
94	1094	Netflix	Australia	7	2.0	True	Middle	7319.5199999999995
95	1095	Netflix	USA	4	1.0	True	Middle	7882.559999999999
96	1096	Google Inc	USA	4			Middle	6364.8
97	1097	Amazon	Australia	8	5.0		Teamlead	12230.399999999996
98	1098	Amazon	Germany	6			Middle	6364.8
99	1099	Netflix	USA	6		True	Senior	10106.199999999999
100	1100	Netflix	USA	3	3.0		Middle	6732.000000000001
101	1101	Amazon	USA	3	1.0	True	Middle	8386.95
102	1102	Google Inc	Germany	7	1.0		Teamlead	9734.4
103	1103	Google Inc	Germany	8	2.0		Teamlead	11356.8
104	1104	Google Inc	Australia	5	1.0	True	Middle	8539.439999999999
105	1105	Netflix	USA	3	2.0		Middle	6283.200000000001
106	1106	Netflix	USA	4		True	Middle	9149.4
107	1107	Netflix	Australia	7	4.0		Middle	5834.400000000001
108	1108	Google Inc	Germany	6		True	Middle	7319.5199999999995
109	1109	Amazon	Australia	8	5.0	True	Teamlead	13060.319999999998
110	1110	Netflix	Australia	3	3.0	True	Junior	5454.68
111	1111	Google Inc	Germany	5	2.0	True	Middle	6756.48
112	1112	Google Inc	USA	4	1.0	True	Junior	6530.159999999999
113	1113	Netflix	Germany	7	4.0	True	Middle	7319.5199999999995
114	1114	Amazon	USA	6		True	Middle	9149.4
115	1115	Netflix	Germany	6			Teamlead	9666.800000000001
116	1116	Amazon	Germany	5	2.0		Junior	5644.799999999998
117	1117	Google Inc	USA	4	1.0		Middle	8568.0
118	1118	Google Inc	USA	3			Junior	5205.200000000001
119	1119	Amazon	USA	3		True	Junior	7438.199999999998
120	1120	Netflix	USA	4	1.0		Middle	6854.4
121	1121	Google Inc	Germany	4	1.0		Junior	4804.8
122	1122	Netflix	USA	5	2.0		Middle	7344.0
123	1123	Netflix	Germany	4	2.0	True	Junior	5525.5199999999995
124	1124	Amazon	Germany	4	1.0	True	Middle	7319.5199999999995
125	1125	Amazon	USA	6	3.0	True	Middle	7929.48
126	1126	Google Inc	Germany	6	3.0		Teamlead	8923.2
127	1127	Google Inc	Australia	8	3.0		Teamlead	13249.599999999999
128	1128	Netflix	USA	6			Middle	7425.6
129	1129	Amazon	USA	3	3.0		Junior	5205.200000000001
130	1130	Netflix	USA	6	1.0	True	Middle	7929.48
131	1131	Google Inc	Germany	8	2.0		Teamlead	12230.399999999996
132	1132	Netflix	Australia	8	5.0		Teamlead	9609.6
133	1133	Google Inc	Germany	4	1.0		Junior	5174.4
134	1134	Netflix	Germany	4			Junior	4838.4
135	1135	Amazon	Germany	7	4.0	True	Middle	7319.5199999999995
136	1136	Amazon	USA	8	5.0		Teamlead	11356.8
137	1137	Netflix	Germany	7	4.0	True	Teamlead	12127.439999999999
138	1138	Google Inc	Germany	4	1.0	True	Middle	6756.48
139	1139	Amazon	Australia	7	3.0		Middle	7469.8
140	1140	Google Inc	Germany	4	1.0	True	Middle	6756.48
141	1141	Google Inc	USA	4	2.0		Middle	6364.8
142	1142	Google Inc	Germany	3	2.0	True	Middle	7225.68
143	1143	Google Inc	Germany	8	5.0	True	Teamlead	11051.039999999999
144	1144	Netflix	USA	7	1.0	True	Teamlead	13138.059999999998
145	1145	Google Inc	Australia	5	1.0		Junior	5644.799999999998
146	1146	Google Inc	Australia	5	1.0	True	Junior	6027.839999999999
147	1147	Amazon	Australia	4	1.0	True	Junior	7032.48
148	1148	Google Inc	USA	3	2.0	True	Junior	5985.9800000000005
149	1149	Amazon	USA	6			Teamlead	13182.0
150	1150	Google Inc	Germany	7	1.0		Teamlead	10410.4
151	1151	Google Inc	Australia	8	5.0		Teamlead	13249.599999999999
152	1152	Netflix	Germany	4		True	Junior	6027.839999999999
153	1153	Google Inc	Australia	6	2.0		Middle	7469.8
154	1154	Netflix	USA	6	3.0		Senior	9464.0
155	1155	Google Inc	Australia	7	4.0	True	Middle	9251.06
156	1156	Google Inc	Germany	3	3.0		Middle	5759.6
157	1157	Netflix	USA	6	1.0		Middle	7956.0
158	1158	Amazon	Australia	3	1.0		Junior	4804.8
159	1159	Netflix	USA	7	4.0		Teamlead	9666.800000000003
160	1160	Google Inc	USA	5		True	Middle	7929.48
161	1161	Amazon	USA	5	2.0		Middle	7996.799999999999
162	1162	Google Inc	Germany	4	1.0		Junior	5174.4
163	1163	Amazon	USA	5	1.0		Junior	5241.599999999999
164	1164	Amazon	Germany	8	2.0	True	Teamlead	12055.679999999998
165	1165	Amazon	Germany	3	1.0	True	Middle	5677.32
166	1166	Netflix	Australia	7	2.0	True	Senior	10106.199999999999
167	1167	Amazon	USA	8	4.0	True	Teamlead	17581.199999999993
168	1168	Google Inc	Germany	4	1.0	True	Junior	5525.5199999999995
169	1169	Google Inc	Australia	7	1.0		Middle	7425.6
170	1170	Amazon	Australia	4			Junior	5241.599999999999
171	1171	Amazon	USA	4	1.0		Junior	6115.2
172	1172	Google Inc	USA	5		True	Junior	6027.839999999999
173	1173	Amazon	Australia	7	3.0		Senior	7488.0
174	1174	Amazon	Australia	4	1.0		Middle	6364.8
175	1175	Amazon	USA	6	2.0	True	Senior	10883.599999999999
176	1176	Google Inc	Australia	7	2.0		Middle	8044.400000000001
177	1177	Google Inc	Germany	8	5.0	True	Teamlead	11971.960000000001
178	1178	Google Inc	Australia	8	2.0	True	Teamlead	15237.039999999997
179	1179	Netflix	Germany	5	1.0		Junior	4838.4
180	1180	Google Inc	Germany	6	3.0	True	Senior	8551.400000000001
181	1181	Google Inc	Germany	4		True	Middle	6756.48
182	1182	Google Inc	Germany	8	5.0	True	Teamlead	12892.879999999997
183	1183	Netflix	Germany	5	1.0	True	Middle	6709.5599999999995
184	1184	Amazon	Germany	8	5.0	True	Teamlead	13060.319999999998
185	1185	Google Inc	Germany	8	4.0		Teamlead	10483.199999999999
